 ,105.0
998.0,96.0
999.0,92.0
1000.0,120.0
1001.0,92.0
1002.0,102.0
1003.0,102.0
1004.0,113.0
1005.0,109.0
1006.0,137.0
1007.0,112.0
1008.0,116.0
1009.0,112.0
1010.0,122.0
1011.0,124.0
1012.0,99.0
1013.0,91.0
1014.0,110.0
1015.0,124.0
1016.0,98.0
1017.0,106.0
1018.0,118.0
1019.0,126.0
1020.0,138.0
1021.0,133.0
1022.0,88.0
 ,0.0
